POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
26,Shivam Mavi,9,9,32,233,11,4/21,21.18,7.24,17.54,1,0
27,Josh Hazlewood,9,9,35,293,11,3/24,26.63,8.37,19.09,0,0
28,Mohammed Siraj,15,15,52,353,11,4/32,32.09,6.78,28.36,0,0
29,Andre Russell,10,8,19,188,11,5/15,17.09,9.89,10.36,0,1
30,Pat Cummins,7,7,27,237,9,4/34,26.33,8.83,17.88,0,0
31,Sam Curran,9,9,33,328,9,4/11,36.44,9.93,22,0,0
32,Kyle Jamieson,9,9,28,269,9,3/41,29.88,9.6,18.66,0,0
33,Rahul Tewatia,14,13,37,340,8,3/18,42.5,9.18,27.75,0,0
34,Siddarth Kaul,8,8,30,247,7,4/29,35.28,8.23,25.71,0,0
35,Nathan Coulter-Nile,5,5,20,127,7,4/14,18.14,6.35,17.14,1,0
36,Ravichandran Ashwin,13,13,44,331,7,4/34,47.28,7.41,38.28,0,0
37,Shahbaz Ahmed,11,6,14,92,7,3/7,13.14,6.57,12,0,0
38,Amit Mishra,4,4,14,109,6,5/17,18.16,7.78,14,1,0
39,Bhuvneshwar Kumar,11,11,42,335,6,5/19,55.83,7.97,42,0,0
40,Moeen Ali,15,10,25,161,6,3/7,26.83,6.35,25.33,0,0
41,Lungi Ngidi,3,3,12,125,5,4/10,25,10.41,14.4,0,0
42,Chris Woakes,3,3,11,82,5,3/36,16.4,7.45,13.2,0,0
43,Krunal Pandya,13,12,33,265,5,3/14,53,7.98,39.8,0,0
44,Jimmy Neesham,3,3,9,66,5,3/12,13.2,7.33,10.8,0,0
45,Harpreet Brar,7,7,23,139,5,3/19,27.8,6.04,27.6,0,0
46,Kieron Pollard,14,9,13,95,5,4/44,19,7.21,15.8,0,0
47,Khaleel Ahmed,7,7,27,219,5,3/21,43.8,8.11,32.4,0,0
48,Abhishek Sharma,8,6,10,64,4,2/4,16,6.4,15,0,0
49,Lalit Yadav,7,5,14,101,4,2/13,25.25,7.21,21,0,0
50,Jaydev Unadkat,6,6,22,168,4,5/25,42,7.63,33,0,0
51,Tom Curran,3,3,11,104,4,3/29,26,9.17,17,0,0
52,Chris Jordan,4,4,12,96,4,4/11,24,8,18,0,0
53,Kartik Tyagi,4,4,14,124,4,2/29,31,8.85,21,0,0
54,Moises Henriques,5,5,10,45,4,3/12,11.25,4.5,15,0,0
55,Dan Christian,9,9,16,155,4,2/10,38.75,9.3,25,0,0
56,Riley Meredith,5,5,17,169,4,1/29,42.25,9.94,25.5,0,0
57,Shakib Al Hasan,8,8,26,187,4,3/17,46.75,7.19,39,0,0
58,Washington Sundar,6,6,16,118,3,3/16,39.33,7.37,32,0,0
59,Venkatesh Iyer,10,4,8,69,3,2/29,23,8.11,17,0,0
60,Sandeep Sharma,7,7,23,203,3,4/20,67.66,8.63,47,0,0
61,Adam Milne,4,4,14,131,3,2/21,43.66,9.35,28,0,0
62,Tim Southee,3,3,12,95,3,3/24,31.66,7.91,24,0,0
63,Vijay Shankar,7,5,11,100,3,2/19,33.33,9.09,22,0,0
64,Jhye Richardson,3,3,11,117,3,2/41,39,10.63,22,0,0
65,Glenn Maxwell,15,6,16,135,3,2/15,45,8.43,32,0,0
66,George Garton,5,5,15,135,3,1/27,45,9,30,0,0
67,T Natarajan,2,2,8,69,2,2/24,34.5,8.62,24,0,0
68,Jayant Yadav,5,5,17,130,2,1/23,65,7.64,51,0,0
69,Imran Tahir,1,1,4,16,2,4/12,8,4,12,0,0
70,Umran Malik,3,3,12,96,2,1/21,48,8,36,0,0
71,Marco Jansen,2,2,6,45,2,2/28,22.5,7.5,18,0,0
72,Marcus Stoinis,10,8,11,117,2,4/15,58.5,10.47,33.5,0,0
73,Mohammad Nabi,3,3,8,86,2,4/11,43,10.75,24,0,0
74,Mujeeb Ur Rahman,1,1,4,29,2,3/27,14.5,7.25,12,0,0
75,Deepak Hooda,12,7,16,136,2,2/16,68,8.5,48,0,0
76,Fabian Allen,4,3,11,90,1,1/22,90,8.18,66,0,0
77,Glenn Phillips,3,2,2,20,1,1/17,20,10,12,0,0
78,Piyush Chawla,1,1,4,38,1,4/17,38,9.5,24,0,0
79,Ishan Porel,1,1,4,39,1,1/39,39,9.75,24,0,0
80,Daniel Sams,2,2,6,39,1,1/24,39,6.5,36,0,0
81,Ishant Sharma,3,3,12,97,1,5/12,97,8.08,72,0,0
82,Kane Richardson,1,1,3,29,1,3/13,29,9.66,18,0,0
83,KM Asif,1,1,2,18,1,2/43,18,8.3,13,0,0
84,Shahbaz Nadeem,1,1,4,36,1,3/16,36,9,24,0,0
85,Lukman Meriwala,1,1,3,32,1,1/32,32,10.66,18,0,0
86,Mahipal Lomror,4,4,7,47,1,1/22,47,6.71,42,0,0
87,Riyan Parag,11,6,6,73,1,1/10,73,11.83,37,0,0
88,Murugan Ashwin,3,3,11,97,1,3/21,97,8.81,66,0,0
89,Nathan Ellis,3,3,12,98,1,1/20,98,8.16,72,0,0
