POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
33,Khaleel Ahmed,7,7,25,242,8,3/21,30.25,9.42,19.25,0,0
34,Isuru Udana,10,10,29,282,8,2/41,35.25,9.72,21.75,0,0
35,Washington Sundar,15,15,50,298,8,3/16,37.25,5.96,37.5,0,0
36,Piyush Chawla,7,7,21,191,6,4/17,31.83,9.09,21,0,0
37,Navdeep Saini,13,13,45,379,6,2/24,63.16,8.29,45.66,0,0
38,Sheldon Cottrell,6,6,20,176,6,2/17,29.33,8.8,20,0,0
39,Lockie Ferguson,5,5,20,148,6,3/15,24.66,7.46,19.83,0,0
40,Ravindra Jadeja,14,13,36,318,6,5/16,53,8.75,36.33,0,0
41,Krunal Pandya,16,16,50,380,6,3/14,63.33,7.57,50.16,0,0
42,Dwayne Bravo,6,6,21,180,6,4/22,30,8.57,21,0,0
43,Andre Russell,10,7,18,175,6,5/15,29.16,9.72,18,0,0
44,Shahbaz Nadeem,7,7,22,178,5,3/16,35.6,8.09,26.4,0,0
45,Nathan Coulter-Nile,7,7,26,206,5,4/14,41.2,7.92,31.2,0,0
46,Karn Sharma,5,5,19,165,5,4/16,33,8.68,22.8,0,0
47,Kamlesh Nagarkoti,10,9,26,231,5,2/13,46.2,8.88,31.2,0,0
48,Sunil Narine,10,10,38,302,5,5/19,60.4,7.94,45.6,0,0
49,Vijay Shankar,7,5,13,82,4,2/19,20.5,6.22,19.75,0,0
50,Shivam Dube,11,5,9,73,4,2/15,18.25,8.11,13.5,0,0
51,Kieron Pollard,16,11,21,190,4,4/44,47.5,9.04,31.5,0,0
52,Prasidh Krishna,6,6,17,164,4,4/30,41,9.37,26.25,0,0
53,Jaydev Unadkat,7,7,23,228,4,5/25,57,9.91,34.5,0,0
54,Bhuvneshwar Kumar,4,4,14,99,3,5/19,33,6.98,28.33,0,0
55,Glenn Maxwell,13,7,21,169,3,2/15,56.33,8.04,42,0,0
56,Harshal Patel,5,5,15,134,3,5/27,44.66,8.93,30,0,0
57,Tom Curran,5,5,18,208,3,3/29,69.33,11.44,36.33,0,0
58,Tushar Deshpande,5,5,17,192,3,2/37,64,11.29,34,0,0
59,Amit Mishra,3,3,10,72,3,5/17,24,7.2,20,0,0
60,Ankit Rajpoot,6,6,17,199,2,5/14,99.5,11.7,51,0,0
61,Siddarth Kaul,1,1,4,64,2,4/29,32,16,12,0,0
62,Ben Stokes,8,6,15,154,2,3/15,77,10.26,45,0,0
63,Adam Zampa,3,3,11,92,2,6/19,46,8.36,33,0,0
64,Abhishek Sharma,8,6,10,91,2,2/4,45.5,9.1,30,0,0
65,Shahbaz Ahmed,2,2,6,44,2,3/7,22,7.33,18,0,0
66,Jimmy Neesham,5,5,15,148,2,3/12,74,9.86,45,0,0
67,Mitchell Santner,2,2,7,53,2,2/13,26.5,7.57,21,0,0
68,Dale Steyn,3,3,11,133,1,3/11,133,11.4,70,0,0
69,Basil Thampi,1,1,4,46,1,3/29,46,11.5,24,0,0
70,Imran Tahir,3,3,11,76,1,4/12,76,6.9,66,0,0
71,Jayant Yadav,2,2,7,43,1,1/23,43,6.14,42,0,0
72,Andrew Tye,1,1,4,50,1,5/17,50,12.5,24,0,0
73,Josh Hazlewood,3,3,10,64,1,3/24,64,6.4,60,0,0
74,Mohit Sharma,1,1,4,45,1,4/14,45,11.25,24,0,0
75,Krishnappa Gowtham,2,2,8,84,1,2/12,84,10.5,48,0,0
76,Moeen Ali,3,3,5,42,1,3/7,42,8.4,30,0,0
77,Kuldeep Yadav,5,4,12,92,1,4/20,92,7.66,72,0,0
78,Abdul Samad,12,3,7,96,1,1/41,96,13.71,42,0,0
