POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
26,Ravichandran Ashwin,14,14,44,319,10,4/34,31.9,7.25,26.4,1,0
27,Tim Southee,11,11,43,329,9,3/24,36.55,7.65,28.66,0,0
28,Thisara Perera,12,11,33,326,9,3/20,36.22,9.82,22.11,0,0
29,Praveen Kumar,16,16,51,401,9,3/18,44.55,7.78,34.33,0,0
30,Ashish Nehra,8,8,26,199,9,4/10,22.11,7.65,17.33,0,0
31,Harbhajan Singh,14,14,49,392,9,5/18,43.55,8,32.66,0,0
32,Dwayne Smith,12,8,18,153,8,4/8,19.12,8.5,13.5,1,0
33,Ravindra Jadeja,15,14,40,311,8,5/16,38.87,7.74,30.12,0,0
34,Marcus Stoinis,7,7,23,194,8,4/15,24.25,8.43,17.25,1,0
35,Kane Richardson,4,4,14,136,7,3/13,19.42,9.71,12,0,0
36,Carlos Brathwaite,8,8,23,185,7,3/43,26.42,7.98,19.85,0,0
37,Murugan Ashwin,10,10,28,241,7,3/21,34.42,8.45,24.42,0,0
38,Shivil Kaushik,7,7,23,192,6,3/20,32,8.34,23,0,0
39,Krunal Pandya,12,11,31,236,6,3/14,39.33,7.57,31.16,0,0
40,Kuldeep Yadav,3,3,12,100,6,4/20,16.66,8.33,12,0,0
41,Iqbal Abdulla,8,8,25,213,6,3/24,35.5,8.52,25,0,0
42,Rajat Bhatia,10,10,34,244,6,4/15,40.66,7.17,34,0,0
43,Pravin Tambe,7,7,16,143,5,4/20,28.6,8.93,19.2,0,0
44,Shakib Al Hasan,10,9,31,243,5,3/17,48.6,7.83,37.2,0,0
45,Ben Cutting,4,4,11,80,5,2/20,16,7.16,13.4,0,0
46,Imran Tahir,4,4,16,138,5,4/12,27.6,8.62,19.2,0,0
47,Mohammad Shami,8,8,25,244,5,3/15,48.8,9.69,30.2,0,0
48,Brad Hogg,5,5,16,142,4,4/29,35.5,8.87,24,0,0
49,Mitchell Marsh,3,3,9,45,4,4/25,11.25,5,13.5,0,0
50,Bipul Sharma,7,6,14,121,3,2/13,40.33,8.64,28,0,0
51,Vinay Kumar,3,3,9,64,3,4/40,21.33,7.11,18,0,0
52,RP Singh,4,4,12,111,3,4/22,37,9.25,24,0,0
53,Ankit Rajpoot,4,4,11,98,3,5/14,32.66,8.9,22,0,0
54,Tabraiz Shamsi,4,4,16,147,3,1/21,49,9.18,32,0,0
55,Pradeep Sahu,5,5,17,146,3,2/18,48.66,8.34,35,0,0
56,Nathan Coulter-Nile,4,4,15,114,3,4/14,38,7.6,30,0,0
57,Hardik Pandya,11,10,16,153,3,3/20,51,9.18,33.33,0,0
58,Ishant Sharma,4,4,15,148,3,5/12,49.33,9.86,30,0,0
59,Deepak Hooda,17,6,13,97,3,2/16,32.33,7.46,26,0,0
60,KC Cariappa,5,5,17,159,3,2/16,53,9.35,34,0,0
61,Scott Boland,2,2,7,54,2,2/31,27,7.71,21,0,0
62,James Faulkner,7,7,17,167,2,5/16,83.5,9.82,51,0,0
63,Jason Holder,4,4,13,103,2,4/52,51.5,7.92,39,0,0
64,Jayant Yadav,5,5,17,125,2,1/23,62.5,7.35,51,0,0
65,John Hastings,2,2,6,37,2,2/6,18.5,5.55,20,0,0
66,Varun Aaron,8,8,23,227,2,3/16,113.5,9.59,71,0,0
67,JP Duminy,10,5,7,55,2,4/17,27.5,7.85,21,0,0
68,Shahbaz Nadeem,4,4,15,127,2,3/16,63.5,8.46,45,0,0
69,Shadab Jakati,6,6,20,178,2,4/22,89,8.9,60,0,0
70,Sachin Baby,11,2,1,8,2,2/4,4,4.8,5,0,0
71,Kyle Abbott,5,5,16,177,2,1/38,88.5,11.06,48,0,0
72,Rishi Dhawan,2,2,7,56,2,2/14,28,8,21,0,0
73,Mitchell Johnson,3,3,11,106,2,3/26,53,9.63,33,0,0
74,Gurkeerat Mann Singh,7,3,4,31,2,2/15,15.5,7.75,12,0,0
75,Chris Gayle,10,4,10,63,2,3/21,31.5,6.3,30,0,0
76,Albie Morkel,2,2,5,66,2,4/32,33,13.2,15,0,0
77,Yusuf Pathan,15,4,6,33,1,3/20,33,5.5,36,0,0
78,Trent Boult,1,1,4,39,1,4/18,39,9.75,24,0,0
79,Adam Milne,1,1,4,43,1,2/21,43,10.75,24,0,0
80,Ankit Sharma,3,3,11,84,1,2/20,84,7.63,66,0,0
81,Stuart Binny,14,11,17,134,1,2/14,134,7.88,102,0,0
82,Ashish Reddy,4,2,4,39,1,3/25,39,10.17,23,0,0
83,Rajagopal Sathish,4,3,6,59,1,1/11,59,9.83,36,0,0
84,Pawan Negi,8,5,9,84,1,4/18,84,9.33,54,0,0
85,Parveez Rasool,4,4,14,129,1,1/20,129,9.21,84,0,0
86,Harshal Patel,5,5,14,147,1,5/27,147,10.5,84,0,0
