POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
70,Dwayne Smith,12,9,13,148,2,4/8,74,11.38,39,0,0
71,Travis Head,7,5,8,81,2,2/30,40.5,10.12,24,0,0
72,T Natarajan,6,6,12,115,2,2/24,57.5,9.07,38,0,0
73,Rahul Chahar,3,2,7,58,2,4/27,29,8.28,21,0,0
74,Rajat Bhatia,3,3,7,55,2,4/15,27.5,7.85,21,0,0
75,Billy Stanlake,2,2,8,70,2,2/21,35,8.75,24,0,0
76,Deepak Hooda,10,3,4,42,2,2/16,21,10.5,12,0,0
77,Nathu Singh,2,2,4,15,1,1/7,15,3.75,24,0,0
78,Matt Henry,2,2,5,71,1,1/31,71,14.2,30,0,0
79,Yuvraj Singh,12,2,2,22,1,4/29,22,11,12,0,0
80,Yusuf Pathan,15,4,4,41,1,3/20,41,10.25,24,0,0
81,Carlos Brathwaite,2,2,6,67,1,3/43,67,11.16,36,0,0
82,Deepak Chahar,3,3,7,74,1,4/13,74,10.57,42,0,0
83,Ashok Dinda,3,3,10,119,1,4/18,119,11.9,60,0,0
84,Munaf Patel,2,2,7,57,1,5/21,57,8.14,42,0,0
85,Shubham Agarwal,1,1,4,42,1,1/42,42,10.5,24,0,0
86,Ben Cutting,4,4,12,123,1,2/20,123,9.71,76,0,0
87,Swapnil Singh,4,4,7,61,1,1/14,61,8.71,42,0,0
88,Suresh Raina,14,6,12,102,1,2/0,102,8.5,72,0,0
89,Avesh Khan,1,1,4,23,1,3/13,23,5.75,24,0,0
90,Moises Henriques,12,12,24,248,1,3/12,248,10.33,144,0,0
