POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
44,Jason Behrendorff,5,5,19,165,5,2/22,33,8.68,22.8,0,0
45,Trent Boult,5,5,19,163,5,4/18,32.6,8.57,22.8,0,0
46,Oshane Thomas,4,4,10,79,5,2/6,15.8,7.9,12,0,0
47,Murugan Ashwin,10,10,34,255,5,3/21,51,7.5,40.8,0,0
48,Washington Sundar,3,3,9,74,4,3/16,18.5,8.22,13.5,0,0
49,Dale Steyn,2,2,8,69,4,3/11,17.25,8.62,12,0,0
50,Ish Sodhi,2,2,7,67,4,3/26,16.75,9.34,10.75,0,0
51,Prasidh Krishna,11,11,40,377,4,4/30,94.25,9.34,60.5,0,0
52,Kuldeep Yadav,9,9,33,286,4,4/20,71.5,8.66,49.5,0,0
53,Mitchell Santner,4,4,14,94,4,2/13,23.5,6.71,21,0,0
54,Varun Aaron,5,5,12,116,4,3/16,29,9.66,18,0,0
55,Mujeeb Ur Rahman,5,5,19,191,3,3/27,63.66,10.05,38,0,0
56,Arshdeep Singh,3,3,10,109,3,5/32,36.33,10.9,20,0,0
57,Nitish Rana,14,6,8,72,3,2/11,24,9,16,0,0
58,Ankit Rajpoot,4,4,16,152,3,5/14,50.66,9.5,32,0,0
59,Pawan Negi,7,4,11,102,3,4/18,34,9.13,22.33,0,0
60,Andrew Tye,6,6,22,233,3,5/17,77.66,10.59,44,0,0
61,Mitchell McClenaghan,5,5,18,142,3,4/21,47.33,7.88,36,0,0
62,Shakib Al Hasan,3,3,11,95,2,3/17,47.5,8.76,32.5,0,0
63,Shahbaz Nadeem,3,3,9,90,2,3/16,45,10,27,0,0
64,Scott Kuggeleijn,2,2,8,71,2,2/37,35.5,8.87,24,0,0
65,Sandeep Warrier,3,3,12,85,2,2/31,42.5,7.08,36,0,0
66,Marcus Stoinis,10,6,16,145,2,4/15,72.5,8.7,50,0,0
67,Riyan Parag,7,7,14,121,2,1/10,60.5,8.64,42,0,0
68,Harshal Patel,2,2,8,77,2,5/27,38.5,9.62,24,0,0
69,Rahul Tewatia,5,3,6,42,2,3/18,21,6.63,19,0,0
70,Jagadeesha Suchith,1,1,4,28,2,2/14,14,7,12,0,0
71,Lockie Ferguson,5,5,17,183,2,3/15,91.5,10.76,51,0,0
72,Abhishek Sharma,3,2,2,21,1,2/4,21,10.5,12,0,0
73,Deepak Hooda,11,2,2,21,1,2/16,21,10.5,12,0,0
74,Vijay Shankar,15,5,8,70,1,2/19,70,8.75,48,0,0
75,Varun Chakaravarthy,1,1,3,35,1,5/20,35,11.66,18,0,0
76,Mayank Markande,3,3,6,59,1,4/23,59,9.83,36,0,0
77,Kulwant Khejroliya,2,2,5,47,1,2/33,47,9.4,30,0,0
78,Krishnappa Gowtham,7,7,20,166,1,2/12,166,8.3,120,0,0
79,Tim Southee,3,3,9,118,1,3/24,118,13.11,54,0,0
80,Karn Sharma,1,1,3,33,1,4/16,33,11.64,17,0,0
81,Stuart Binny,8,5,7,44,1,2/14,44,6.28,42,0,0
82,Anukul Roy,1,1,2,11,1,1/11,11,5.5,12,0,0
83,Mohit Sharma,1,1,3,27,1,4/14,27,9,18,0,0
84,Sherfane Rutherford,7,6,7,59,1,1/6,59,8.63,41,0,0
85,Ben Cutting,3,1,2,27,1,2/20,27,13.5,12,0,0
86,Jayant Yadav,2,2,7,50,1,1/23,50,7.14,42,0,0
87,Prithvi Raj Yarra,2,2,5,57,1,1/29,57,11.4,30,0,0
