POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
27,Karun Nair,14,13,0,281,64,21.61,226,124.33,0,1,39,6
28,Ishan Kishan,11,10,0,277,61,27.7,206,134.46,0,1,29,13
29,Moises Henriques,12,11,5,277,55*,46.16,203,136.45,0,3,28,4
30,Jos Buttler,10,10,0,272,77,27.2,177,153.67,0,1,27,15
31,Kedar Jadhav,13,13,1,267,69,22.25,186,143.54,0,1,25,10
32,Shaun Marsh,9,8,0,264,84,33,194,136.08,0,2,36,5
33,Kane Williamson,7,7,1,256,89,42.66,169,151.47,0,2,20,10
34,Yuvraj Singh,12,11,2,252,70*,28,177,142.37,0,2,30,8
35,Hardik Pandya,17,16,9,250,35*,35.71,160,156.25,0,0,11,20
36,Krunal Pandya,13,11,4,243,47,34.71,179,135.75,0,0,24,7
37,Dwayne Smith,12,12,1,239,74,21.72,156,153.2,0,2,32,8
38,Wriddhiman Saha,14,11,1,234,93*,23.4,187,125.13,0,1,20,8
39,Manan Vohra,11,9,0,229,95,25.44,159,144.02,0,1,23,9
40,Axar Patel,14,13,5,227,44,28.37,162,140.12,0,0,11,11
41,Sunil Narine,16,14,1,224,54,17.23,130,172.3,0,1,34,10
42,AB de Villiers,9,9,1,216,89*,27,163,132.51,0,1,12,16
43,Chris Gayle,9,9,0,200,77,22.22,163,122.69,0,1,15,14
44,Mandeep Singh,11,10,0,188,52,18.8,177,106.21,0,1,21,4
45,Ravindra Jadeja,12,10,6,158,28,39.5,113,139.82,0,0,13,4
46,Chris Morris,9,9,4,154,52*,30.8,94,163.82,0,1,15,6
47,Travis Head,7,7,2,151,75*,30.2,108,139.81,0,1,9,6
48,Pawan Negi,12,10,2,144,35,18,111,129.72,0,0,10,7
49,Yusuf Pathan,15,11,3,143,59,17.87,115,124.34,0,1,9,6
50,Corey Anderson,11,11,4,142,41*,20.28,123,115.44,0,0,8,9
51,Sam Billings,6,6,0,138,55,23,104,132.69,0,1,19,1
52,Lendl Simmons,7,7,0,137,66,19.57,112,122.32,0,2,10,8
53,Martin Guptill,7,7,1,132,50*,22,88,150,0,1,17,5
54,Colin de Grandhomme,12,9,1,126,36,15.75,92,136.95,0,0,10,6
55,Suryakumar Yadav,10,7,1,105,31,17.5,88,119.31,0,0,8,3
56,Vijay Shankar,4,4,2,101,63*,50.5,75,134.66,0,1,12,1
57,Ambati Rayudu,5,5,0,91,63,18.2,78,116.66,0,1,7,3
58,David Miller,5,4,1,83,30*,27.66,80,103.75,0,0,4,4
59,Dan Christian,13,9,4,79,17*,15.8,49,161.22,0,0,5,5
60,Naman Ojha,14,5,1,79,34,19.75,65,121.53,0,0,2,3
61,Stuart Binny,8,7,2,78,18*,15.6,76,102.63,0,0,6,3
62,Deepak Hooda,10,6,3,78,19*,26,52,150,0,0,5,4
63,Pat Cummins,12,9,4,77,24,15.4,53,145.28,0,0,5,4
64,Shane Watson,8,7,1,71,24,11.83,78,91.02,0,0,6,1
65,Eoin Morgan,4,4,0,65,26,16.25,62,104.83,0,0,6,2
66,Jason Roy,3,3,1,59,31,29.5,40,147.5,0,0,9,1
67,Kagiso Rabada,6,3,0,55,44,18.33,64,85.93,0,0,5,1
68,James Faulkner,8,6,2,54,21,13.5,57,94.73,0,0,4,0
69,Andrew Tye,6,3,1,53,25,26.5,30,176.66,0,0,4,3
70,Saurabh Tiwary,1,1,0,52,52,52,43,120.93,0,1,9,0
71,Ben Cutting,4,3,1,51,20,25.5,26,196.15,0,0,5,3
72,Mohit Sharma,14,7,1,51,13,8.5,50,102,0,0,3,1
73,Karn Sharma,9,6,0,49,19,8.16,41,119.51,0,0,5,2
74,Amit Mishra,14,6,5,49,13*,49,52,94.23,0,0,2,2
75,Chris Woakes,13,7,3,46,18,11.5,47,97.87,0,0,4,1
76,Sheldon Jackson,4,3,1,38,16,19,31,122.58,0,0,5,0
77,Mohammad Shami,8,6,2,36,21,9,24,150,0,0,4,2
78,Ishank Jaggi,2,2,1,33,28,33,39,84.61,0,0,3,0
79,Angelo Mathews,3,2,0,32,31,16,27,118.51,0,0,2,1
80,Sreenath Aravind,10,8,4,32,9,8,40,80,0,0,2,0
81,Bipul Sharma,7,3,2,31,21*,31,24,129.16,0,0,2,1
82,Marlon Samuels,5,4,0,29,27,7.25,31,93.54,0,0,1,2
83,Basil Thampi,12,5,5,28,13*,0,28,100,0,0,1,1
84,Mayank Agarwal,3,3,0,26,20,8.66,27,96.29,0,0,3,0
85,Ankit Sharma,1,1,0,25,25,25,15,166.66,0,0,2,1
86,Aniket Choudhary,5,3,2,25,15*,25,20,125,0,0,1,1
87,Mitchell Johnson,5,3,3,20,13*,0,17,117.64,0,0,1,1
88,Kuldeep Yadav,12,2,0,20,16,10,22,90.9,0,0,2,0
89,Rahul Tewatia,3,2,1,19,15*,19,11,172.72,0,0,4,0
90,Vishnu Vinod,3,3,0,19,9,6.33,26,73.07,0,0,1,1
91,Aditya Tare,3,3,0,18,18,6,23,78.26,0,0,3,0
92,Marcus Stoinis,5,3,0,17,9,5.66,24,70.83,0,0,1,0
93,Rajat Bhatia,3,2,1,16,16,16,17,94.11,0,0,0,1
94,Harbhajan Singh,11,7,5,16,7*,8,16,100,0,0,0,1
95,Mitchell McClenaghan,14,7,3,16,12,4,15,106.66,0,0,0,1
96,Jasprit Bumrah,16,2,1,16,16*,16,12,133.33,0,0,0,1
97,Anureet Singh,1,1,0,15,15,15,12,125,0,0,2,0
98,Sachin Baby,3,3,0,15,12,5,15,100,0,0,2,0
99,Deepak Chahar,3,1,0,14,14,14,6,233.33,0,0,0,2
100,Nathan Coulter-Nile,8,3,0,14,6,4.66,12,116.66,0,0,0,2
101,Samuel Badree,7,5,0,13,8,2.6,23,56.52,0,0,0,0
102,Yuzvendra Chahal,13,6,3,13,4*,4.33,26,50,0,0,0,0
103,Ankit Bawne,1,1,1,12,12*,0,12,100,0,0,1,0
104,Carlos Brathwaite,2,2,0,12,11,6,15,80,0,0,2,0
105,Swapnil Singh,4,2,0,12,10,6,19,63.15,0,0,0,0
106,Rashid Khan,14,3,1,11,6*,5.5,9,122.22,0,0,0,1
107,Umesh Yadav,14,4,4,10,4*,0,13,76.92,0,0,0,0
108,Washington Sundar,11,5,4,9,5*,9,12,75,0,0,0,0
109,Faf du Plessis,2,1,0,8,8,8,7,114.28,0,0,1,0
110,Tymal Mills,5,3,0,8,6,2.66,11,72.72,0,0,0,1
111,Ishant Sharma,6,3,1,8,5*,4,12,66.66,0,0,1,0
112,Praveen Kumar,6,2,1,8,7*,8,9,88.88,0,0,0,0
113,Ashok Dinda,3,1,0,7,7,7,7,100,0,0,1,0
114,Tim Southee,3,1,0,7,7,7,3,233.33,0,0,0,1
115,Adam Milne,4,3,1,7,5,3.5,12,58.33,0,0,0,0
116,Ankit Soni,7,3,1,7,7*,3.5,9,77.77,0,0,0,1
117,Lasith Malinga,12,2,2,7,7*,0,3,233.33,0,0,0,1
118,Sandeep Sharma,13,4,4,7,5*,0,6,116.66,0,0,0,0
119,Darren Bravo,1,1,1,6,6*,0,5,120,0,0,1,0
120,Iqbal Abdulla,2,1,1,5,5*,0,7,71.42,0,0,0,0
121,Adam Zampa,6,1,0,5,5,5,7,71.42,0,0,1,0
122,Trent Boult,6,1,1,5,5*,0,8,62.5,0,0,0,0
123,Ankit Rajpoot,5,1,0,4,4,4,7,57.14,0,0,1,0
124,Varun Aaron,6,2,1,4,4,4,10,40,0,0,0,0
125,Zaheer Khan,11,3,2,4,2,4,13,30.76,0,0,0,0
126,Bhuvneshwar Kumar,14,2,1,4,4*,4,4,100,0,0,0,0
127,Rahul Chahar,3,1,1,3,3*,0,2,150,0,0,0,0
128,Irfan Pathan,1,1,0,2,2,2,3,66.66,0,0,0,0
129,Mohammad Nabi,3,1,0,2,2,2,3,66.66,0,0,0,0
130,KC Cariappa,4,2,0,2,1,1,7,28.57,0,0,0,0
131,Pradeep Sangwan,5,3,1,2,1*,1,4,50,0,0,0,0
132,Piyush Chawla,6,1,0,2,2,2,6,33.33,0,0,0,0
133,Shahbaz Nadeem,7,4,1,2,2,0.66,9,22.22,0,0,0,0
134,Jaydev Unadkat,12,2,2,2,2*,0,5,40,0,0,0,0
135,Shakib Al Hasan,1,1,1,1,1*,0,1,100,0,0,0,0
136,Lockie Ferguson,4,1,1,1,1*,0,1,100,0,0,0,0
137,Dhawal Kulkarni,6,1,0,1,1,1,2,50,0,0,0,0
138,Akshdeep Nath,1,1,0,0,0*,0,1,0,0,0,0,0
139,Chris Jordan,1,1,0,0,0*,0,1,0,0,0,0,0
140,Munaf Patel,2,1,0,0,0*,0,1,0,0,0,0,0
141,Siddarth Kaul,10,1,1,0,0*,0,2,0,0,0,0,0
142,Imran Tahir,12,1,1,0,0*,0,2,0,0,0,0,0
143,Shardul Thakur,12,3,0,0,0*,0,3,0,0,0,0,0
