POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
112,Pravin Tambe,7,1,1,7,7*,0,19,36.84,0,0,1,0
113,Sunil Narine,11,4,3,7,4,7,13,53.84,0,0,0,0
114,Peter Handscomb,2,1,0,6,6,6,12,50,0,0,0,0
115,Jayant Yadav,5,2,0,6,5,3,10,60,0,0,0,0
116,Zaheer Khan,12,2,0,6,4,3,13,46.15,0,0,1,0
117,David Wiese,1,1,1,5,5*,0,4,125,0,0,0,0
118,Mitchell Johnson,3,3,1,5,4,2.5,14,35.71,0,0,0,0
119,Imran Tahir,4,1,0,5,5,5,7,71.42,0,0,1,0
120,Amit Mishra,14,2,0,4,3,2,14,28.57,0,0,0,0
121,Barinder Sran,14,4,4,4,2*,0,4,100,0,0,0,0
122,Ankit Sharma,3,1,1,3,3*,0,3,100,0,0,0,0
123,Chris Jordan,9,1,0,3,3,3,4,75,0,0,0,0
124,Shreyas Gopal,1,1,0,2,2,2,16,12.5,0,0,0,0
125,Mohammad Shami,8,2,2,2,2*,0,4,50,0,0,0,0
126,Dale Steyn,1,1,0,1,1,1,2,50,0,0,0,0
127,Kane Richardson,4,1,1,1,1*,0,1,100,0,0,0,0
128,Shahbaz Nadeem,4,1,1,1,1*,0,5,20,0,0,0,0
129,Shadab Jakati,6,1,1,1,1*,0,2,50,0,0,0,0
130,Ashish Nehra,8,2,2,1,1*,0,1,100,0,0,0,0
131,Morne Morkel,10,2,2,1,1*,0,1,100,0,0,0,0
132,Swapnil Singh,1,1,0,0,0*,0,1,0,0,0,0,0
133,Unmukt Chand,1,1,0,0,0*,0,4,0,0,0,0,0
134,Adam Zampa,5,1,0,0,0*,0,1,0,0,0,0,0
135,Shivil Kaushik,7,2,1,0,0*,0,1,0,0,0,0,0
136,Murugan Ashwin,10,1,0,0,0*,0,1,0,0,0,0,0
