POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
133,Joe Denly,1,1,0,0,0*,0,1,0,0,0,0,0
134,Mohit Sharma,1,1,1,0,0*,0,2,0,0,0,0,0
135,Sam Billings,1,1,0,0,0*,0,4,0,0,0,0,0
136,Harshal Patel,2,2,1,0,0*,0,2,0,0,0,0,0
137,Prithvi Raj Yarra,2,1,1,0,0*,0,1,0,0,0,0,0
138,Mujeeb Ur Rahman,5,3,2,0,0*,0,4,0,0,0,0,0
139,Andrew Tye,6,1,1,0,0*,0,2,0,0,0,0,0
140,Sandeep Lamichhane,6,1,0,0,0*,0,1,0,0,0,0,0
141,Siddarth Kaul,7,2,1,0,0*,0,1,0,0,0,0,0
142,Khaleel Ahmed,9,1,0,0,0*,0,1,0,0,0,0,0
143,Prasidh Krishna,11,1,0,0,0*,0,2,0,0,0,0,0
144,Jasprit Bumrah,16,3,3,0,0*,0,1,0,0,0,0,0
